Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Age_original,Income,Race_Sex_combined,Age_Sex_combined
Early Adulthood,Local-gov,72338,HS-grad,9,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,0,0,55,Taiwan,37,>50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Early Adulthood,Private,231020,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,55,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,184279,Doctorate,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,6694,0,43,United-States,55,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,99467,Doctorate,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,59,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,99184,HS-grad,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1937,45,United-States,36,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-inc,121124,5th-6th,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,54,Italy,47,>50K,White_Male,Midlife_Male
Early Adulthood,Federal-gov,44738,Preschool,12,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,0,0,46,United-States,48,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,305437,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,37,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,245058,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,38,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,320080,Bachelors,13,Divorced,Farming-fishing,Other-relative,White,Female,0,0,52,United-States,34,>50K,White_Female,Early Adulthood_Female
Midlife,Federal-gov,78021,Bachelors,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,47,>50K,White_Male,Midlife_Male
Midlife,Local-gov,118887,Prof-school,9,Married-civ-spouse,Tech-support,Husband,White,Male,4405,0,97,Trinadad&Tobago,42,>50K,White_Male,Midlife_Male
Early Adulthood,Private,160684,7th-8th,10,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,0,1723,45,United-States,29,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,52626,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,29,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,159261,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,41,United-States,33,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Never-worked,199352,HS-grad,13,Married-civ-spouse,Prof-specialty,Own-child,Other,Female,0,0,50,United-States,34,>50K,Other_Female,Early Adulthood_Female
Early Adulthood,Local-gov,63044,Bachelors,12,Married-civ-spouse,Priv-house-serv,Unmarried,White,Female,0,0,40,United-States,40,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Self-emp-inc,241711,Doctorate,10,Married-civ-spouse,Other-service,Husband,White,Male,0,1907,53,United-States,37,>50K,White_Male,Early Adulthood_Male
Midlife,Private,84052,Masters,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,7688,0,49,United-States,49,>50K,White_Male,Midlife_Male
Elderly,Self-emp-inc,113325,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,68,United-States,40,>50K,White_Male,Elderly_Male
Early Adulthood,Private,126569,Preschool,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,49,United-States,38,>50K,White_Male,Early Adulthood_Male
Midlife,Private,135341,Prof-school,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,49,Trinadad&Tobago,43,>50K,Other_Male,Midlife_Male
Early Adulthood,Private,121332,Doctorate,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,15024,0,47,United-States,41,>50K,White_Male,Early Adulthood_Male
Midlife,Private,138999,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,4392,0,47,United-States,47,>50K,White_Male,Midlife_Male
Midlife,Private,255543,9th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,43,>50K,White_Male,Midlife_Male
Midlife,Private,147894,Doctorate,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,15024,0,51,Portugal,51,>50K,Black_Male,Midlife_Male
Elderly,Private,116138,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,5151,0,44,United-States,54,>50K,White_Male,Elderly_Male
Early Adulthood,Self-emp-inc,223881,Preschool,13,Married-civ-spouse,Other-service,Husband,White,Male,99999,0,66,Poland,40,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Never-worked,729486,Prof-school,12,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,53,United-States,37,>50K,Other_Male,Early Adulthood_Male
Early Adulthood,Private,398929,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1315,50,United-States,35,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,466462,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,34,>50K,White_Male,Early Adulthood_Male
Midlife,Private,222596,HS-grad,9,Divorced,Protective-serv,Husband,White,Male,0,0,49,Thailand,43,>50K,White_Male,Midlife_Male
Elderly,Self-emp-inc,330085,Preschool,12,Married-AF-spouse,Other-service,Husband,White,Male,0,0,33,United-States,61,>50K,White_Male,Elderly_Male
Elderly,Never-worked,161442,HS-grad,10,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,48,United-States,47,>50K,Other_Male,Elderly_Male
Elderly,Private,218624,Doctorate,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,51,>50K,White_Male,Elderly_Male
Midlife,Self-emp-inc,139268,Doctorate,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,45,>50K,White_Male,Midlife_Male
Elderly,Private,462802,Doctorate,12,Married-civ-spouse,Other-service,Husband,White,Male,730,0,55,United-States,48,>50K,White_Male,Elderly_Male
Elderly,Local-gov,30565,Masters,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,7298,0,37,United-States,46,>50K,White_Female,Elderly_Female
Elderly,Private,347603,Masters,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,Germany,39,>50K,White_Male,Elderly_Male
Midlife,Private,141275,Doctorate,9,Married-AF-spouse,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,54,>50K,White_Female,Midlife_Female
Midlife,Private,267569,HS-grad,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024,0,48,United-States,46,>50K,White_Male,Midlife_Male
Midlife,Private,251807,HS-grad,13,Divorced,Priv-house-serv,Own-child,White,Female,0,2527,41,United-States,52,>50K,White_Female,Midlife_Female
Midlife,Local-gov,167159,Bachelors,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,46,United-States,45,>50K,White_Male,Midlife_Male
Midlife,Never-worked,163452,Doctorate,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,41,United-States,43,>50K,White_Male,Midlife_Male
Midlife,State-gov,160369,HS-grad,11,Married-spouse-absent,Prof-specialty,Husband,White,Male,0,0,44,United-States,42,>50K,White_Male,Midlife_Male
Early Adulthood,Never-worked,191980,Assoc-voc,11,Divorced,Priv-house-serv,Own-child,Other,Female,0,0,40,United-States,39,>50K,Other_Female,Early Adulthood_Female
Early Adulthood,Private,101808,Some-college,10,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,2122,39,United-States,39,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,42890,Doctorate,13,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Female,0,0,54,United-States,39,>50K,White_Female,Early Adulthood_Female
Elderly,Private,224436,Doctorate,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,55,United-States,43,>50K,White_Male,Elderly_Male
Elderly,Private,166078,Doctorate,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,41,United-States,54,>50K,White_Male,Elderly_Male
Elderly,Private,189681,Prof-school,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,45,>50K,White_Male,Elderly_Male
Early Adulthood,Private,30567,Doctorate,9,Married-AF-spouse,Handlers-cleaners,Own-child,White,Female,0,0,47,United-States,38,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Local-gov,265051,Preschool,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,57,United-States,42,>50K,White_Male,Early Adulthood_Male
Midlife,Local-gov,240636,HS-grad,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,50,>50K,White_Male,Midlife_Male
Early Adulthood,Private,201515,Bachelors,12,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,36,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,472988,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5317,0,40,United-States,30,>50K,White_Male,Early Adulthood_Male
Midlife,Private,43352,Prof-school,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,41,United-States,50,>50K,White_Male,Midlife_Male
Midlife,Private,104295,Prof-school,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,Other,Female,0,0,40,United-States,49,>50K,Other_Female,Midlife_Female
Elderly,Private,427974,7th-8th,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1919,37,United-States,53,>50K,White_Male,Elderly_Male
Elderly,Private,158094,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7416,0,44,United-States,46,>50K,White_Male,Elderly_Male
Elderly,Private,198849,Assoc-acdm,12,Married-civ-spouse,Priv-house-serv,Husband,White,Male,15218,0,47,Portugal,55,>50K,White_Male,Elderly_Male
Elderly,Self-emp-inc,87374,Preschool,14,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,1966,50,United-States,43,>50K,White_Male,Elderly_Male
Early Adulthood,Private,172290,Preschool,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,32,>50K,White_Male,Early Adulthood_Male
Midlife,Private,177722,Assoc-acdm,12,Married-AF-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,51,>50K,White_Male,Midlife_Male
Midlife,Private,39517,Prof-school,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,49,>50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,204390,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,49,United-States,53,>50K,White_Male,Midlife_Male
Midlife,Private,218423,Masters,11,Married-spouse-absent,Armed-Forces,Not-in-family,White,Female,13905,0,30,United-States,48,>50K,White_Female,Midlife_Female
Early Adulthood,Private,103649,Bachelors,12,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,30,>50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,187693,Assoc-voc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,39,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,222221,Bachelors,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,43,United-States,32,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,122536,HS-grad,10,Married-civ-spouse,Protective-serv,Not-in-family,Black,Female,0,0,44,Puerto-Rico,34,>50K,Black_Female,Early Adulthood_Female
Elderly,Self-emp-inc,665740,Doctorate,10,Married-civ-spouse,Priv-house-serv,Husband,Other,Male,0,0,41,United-States,46,>50K,Other_Male,Elderly_Male
Midlife,Private,204147,Prof-school,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,1892,51,Outlying-US(Guam-USVI-etc),55,>50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,117364,Doctorate,15,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,0,0,65,Cuba,53,>50K,Asian-Pac-Islander_Male,Midlife_Male
Elderly,Private,178319,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,43,>50K,White_Male,Elderly_Male
Midlife,Private,104453,Prof-school,10,Married-civ-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Female,0,0,85,United-States,55,>50K,Asian-Pac-Islander_Female,Midlife_Female
Early Adulthood,Private,281907,Masters,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,43,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,679222,Assoc-voc,12,Divorced,Exec-managerial,Husband,White,Male,0,0,52,United-States,43,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,66427,Bachelors,11,Married-spouse-absent,Protective-serv,Husband,Black,Female,0,0,40,Puerto-Rico,35,>50K,Black_Female,Early Adulthood_Female
Elderly,Private,383680,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1899,38,United-States,41,>50K,White_Male,Elderly_Male
Midlife,Private,302375,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States,46,>50K,White_Male,Midlife_Male
Early Adulthood,Private,117776,Doctorate,10,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,58,United-States,50,>50K,White_Male,Early Adulthood_Male
Elderly,Private,227506,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,42,>50K,Black_Male,Elderly_Male
Elderly,Federal-gov,78022,Doctorate,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,45,>50K,White_Female,Elderly_Female
Early Adulthood,Private,127144,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,63,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,145441,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,40,>50K,White_Male,Early Adulthood_Male
Midlife,Private,226702,Bachelors,12,Married-civ-spouse,Priv-house-serv,Husband,White,Male,99999,0,41,?,44,>50K,White_Male,Midlife_Male
Early Adulthood,Private,221983,Prof-school,10,Married-AF-spouse,Armed-Forces,Unmarried,White,Female,0,0,37,United-States,31,>50K,White_Female,Early Adulthood_Female
Midlife,Local-gov,358722,Preschool,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,51,United-States,55,>50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,116214,Preschool,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States,50,>50K,White_Male,Midlife_Male
Midlife,Self-emp-inc,118796,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,52,>50K,White_Male,Midlife_Male
Early Adulthood,Private,70028,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,29,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,175916,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,1954,22,United-States,37,>50K,White_Female,Early Adulthood_Female
Midlife,Never-worked,139278,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,51,>50K,White_Male,Midlife_Male
Early Adulthood,Self-emp-inc,47882,Bachelors,13,Divorced,Armed-Forces,Other-relative,White,Female,0,0,50,United-States,39,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,101160,Doctorate,11,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,48,United-States,45,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Local-gov,32623,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,46,United-States,37,>50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Early Adulthood,Local-gov,52526,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1887,50,Trinadad&Tobago,36,>50K,White_Female,Early Adulthood_Female
Midlife,Private,106157,Assoc-voc,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,40,Portugal,43,>50K,White_Male,Midlife_Male
Midlife,Local-gov,163434,Bachelors,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,49,United-States,43,>50K,White_Male,Midlife_Male
Midlife,Never-worked,1024176,HS-grad,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,53,United-States,45,>50K,White_Male,Midlife_Male
Midlife,Private,69495,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2141,47,Philippines,48,>50K,White_Male,Midlife_Male
Elderly,Federal-gov,243640,Assoc-voc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,41,United-States,41,>50K,White_Male,Elderly_Male
Early Adulthood,Private,526932,HS-grad,13,Married-spouse-absent,Priv-house-serv,Husband,Other,Female,0,0,38,United-States,37,>50K,Other_Female,Early Adulthood_Female
Elderly,Private,191205,Prof-school,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,49,United-States,50,>50K,White_Male,Elderly_Male
Elderly,Private,443526,Doctorate,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,42,United-States,38,>50K,White_Male,Elderly_Male
Early Adulthood,Private,305416,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,37,>50K,White_Male,Early Adulthood_Male
Elderly,Private,35901,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,47,South,40,>50K,Other_Male,Elderly_Male
Elderly,Never-worked,207665,HS-grad,9,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,40,United-States,59,>50K,White_Female,Elderly_Female
Elderly,Private,213919,Bachelors,12,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,50,Nicaragua,46,>50K,Asian-Pac-Islander_Male,Elderly_Male
Early Adulthood,Private,131210,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,37,>50K,White_Male,Early Adulthood_Male
Midlife,Private,168768,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,1887,40,Trinadad&Tobago,58,>50K,Other_Male,Midlife_Male
Midlife,Private,186080,HS-grad,13,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,46,United-States,40,>50K,White_Female,Midlife_Female
Midlife,Private,176122,HS-grad,12,Married-AF-spouse,Other-service,Husband,Other,Female,0,0,14,United-States,56,>50K,Other_Female,Midlife_Female
Early Adulthood,Federal-gov,103650,Doctorate,9,Married-civ-spouse,Adm-clerical,Husband,Other,Female,0,0,44,United-States,30,>50K,Other_Female,Early Adulthood_Female
Early Adulthood,Self-emp-inc,175387,HS-grad,12,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,33,United-States,31,>50K,White_Female,Early Adulthood_Female
Midlife,Private,190997,Doctorate,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,57,>50K,White_Male,Midlife_Male
Elderly,Self-emp-inc,183247,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,24,United-States,61,>50K,White_Female,Elderly_Female
Midlife,Private,241580,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5032,0,40,United-States,49,>50K,White_Male,Midlife_Male
Midlife,Local-gov,22976,Masters,14,Married-civ-spouse,Exec-managerial,Other-relative,Black,Female,0,0,44,United-States,55,>50K,Black_Female,Midlife_Female
Early Adulthood,Private,118633,Bachelors,9,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,0,31,United-States,35,>50K,White_Female,Early Adulthood_Female
Elderly,?,50939,Assoc-acdm,12,Married-civ-spouse,?,Unmarried,White,Female,0,0,20,United-States,51,>50K,White_Female,Elderly_Female
Midlife,Never-worked,123011,Prof-school,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,52,>50K,White_Male,Midlife_Male
Elderly,Private,56197,5th-6th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,United-States,57,>50K,White_Male,Elderly_Male
Midlife,Private,240628,Bachelors,13,Married-civ-spouse,Farming-fishing,Own-child,White,Female,0,0,40,United-States,42,>50K,White_Female,Midlife_Female
Early Adulthood,Private,224242,Bachelors,13,Married-AF-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,44,>50K,White_Female,Early Adulthood_Female
Elderly,?,101768,Prof-school,9,Married-civ-spouse,?,Husband,White,Female,0,0,40,United-States,64,>50K,White_Female,Elderly_Female
Early Adulthood,Self-emp-inc,34206,Masters,9,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,0,0,47,United-States,58,>50K,White_Male,Early Adulthood_Male
Elderly,Local-gov,416529,HS-grad,12,Married-spouse-absent,Other-service,Husband,White,Female,15247,0,40,Iran,56,>50K,White_Female,Elderly_Female
Elderly,Private,176157,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,46,>50K,White_Male,Elderly_Male
Early Adulthood,Private,218614,Prof-school,10,Married-civ-spouse,Sales,Husband,White,Male,0,2296,52,United-States,63,>50K,White_Male,Early Adulthood_Male
Elderly,Local-gov,153115,Masters,14,Married-civ-spouse,Other-service,Husband,Other,Male,15024,0,40,Portugal,40,>50K,Other_Male,Elderly_Male
Midlife,Private,346823,HS-grad,11,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,48,United-States,51,>50K,White_Female,Midlife_Female
Elderly,Local-gov,212208,Assoc-voc,10,Married-civ-spouse,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States,41,>50K,Other_Female,Elderly_Female
Midlife,Private,188322,Prof-school,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,15024,0,41,United-States,42,>50K,White_Female,Midlife_Female
Early Adulthood,Federal-gov,128638,Doctorate,10,Divorced,Adm-clerical,Husband,Black,Male,0,0,45,United-States,58,>50K,Black_Male,Early Adulthood_Male
Early Adulthood,Never-worked,162440,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,21,United-States,34,>50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,446280,Prof-school,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,41,United-States,35,>50K,White_Female,Early Adulthood_Female
Midlife,Self-emp-inc,259452,Preschool,11,Married-civ-spouse,Craft-repair,Husband,Other,Male,3951,0,54,United-States,32,>50K,Other_Male,Midlife_Male
Elderly,Never-worked,182044,Preschool,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1892,44,United-States,39,>50K,White_Male,Elderly_Male
Midlife,Self-emp-inc,86466,HS-grad,9,Divorced,Exec-managerial,Husband,White,Female,99999,0,56,United-States,51,>50K,White_Female,Midlife_Female
Midlife,Never-worked,94059,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,99999,0,58,Trinadad&Tobago,41,>50K,Other_Male,Midlife_Male
Elderly,Self-emp-not-inc,151638,Doctorate,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,4637,0,40,United-States,47,>50K,White_Male,Elderly_Male
Early Adulthood,Private,191774,Doctorate,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1898,46,United-States,42,>50K,White_Male,Early Adulthood_Male
Midlife,Never-worked,81500,HS-grad,11,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,45,Taiwan,46,>50K,White_Male,Midlife_Male
Elderly,Federal-gov,109399,Assoc-voc,12,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,1977,40,Philippines,43,>50K,Asian-Pac-Islander_Male,Elderly_Male
Midlife,Self-emp-inc,93710,Doctorate,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,57,United-States,58,>50K,White_Male,Midlife_Male
Elderly,Private,193349,HS-grad,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,59,United-States,45,>50K,White_Male,Elderly_Male
Elderly,Private,108694,Preschool,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,41,>50K,White_Male,Elderly_Male
Elderly,Private,163768,Doctorate,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,59,United-States,52,>50K,White_Male,Elderly_Male
Early Adulthood,Private,178322,Doctorate,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,Thailand,37,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,176834,HS-grad,13,Divorced,Prof-specialty,Other-relative,White,Female,0,0,42,United-States,45,>50K,White_Female,Early Adulthood_Female
Elderly,Private,103790,Doctorate,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,54,>50K,White_Male,Elderly_Male
Midlife,Private,180457,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999,0,52,United-States,50,>50K,Other_Male,Midlife_Male
Early Adulthood,Private,207569,Doctorate,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,48,Taiwan,39,>50K,Other_Male,Early Adulthood_Male
Midlife,Federal-gov,237445,Assoc-voc,10,Divorced,Other-service,Other-relative,White,Male,4371,0,40,United-States,57,>50K,White_Male,Midlife_Male
Early Adulthood,Private,187802,HS-grad,11,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,1887,40,United-States,36,>50K,White_Female,Early Adulthood_Female
Midlife,Private,192780,Bachelors,13,Married-spouse-absent,Protective-serv,Husband,White,Male,0,0,44,Taiwan,46,>50K,White_Male,Midlife_Male
Elderly,Private,177897,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,South,48,>50K,White_Male,Elderly_Male
Midlife,Private,116379,HS-grad,13,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,0,0,54,Taiwan,41,>50K,Asian-Pac-Islander_Male,Midlife_Male
Elderly,?,257370,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2320,35,United-States,66,>50K,White_Male,Elderly_Male
Midlife,Self-emp-not-inc,109606,HS-grad,13,Married-civ-spouse,Craft-repair,Own-child,White,Female,4797,0,43,Thailand,51,>50K,White_Female,Midlife_Female
Early Adulthood,Private,356934,Doctorate,11,Divorced,Machine-op-inspct,Husband,White,Male,0,0,42,United-States,40,>50K,White_Male,Early Adulthood_Male
Elderly,Private,278460,Prof-school,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,64,United-States,42,>50K,White_Male,Elderly_Male
Early Adulthood,Self-emp-not-inc,321943,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,37,>50K,White_Male,Early Adulthood_Male
Elderly,Local-gov,74651,Doctorate,13,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,41,>50K,White_Female,Elderly_Female
Early Adulthood,Never-worked,187051,HS-grad,9,Divorced,Tech-support,Husband,White,Female,0,0,56,United-States,35,>50K,White_Female,Early Adulthood_Female
Midlife,Never-worked,211081,Doctorate,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7514,0,40,United-States,53,>50K,White_Male,Midlife_Male
Early Adulthood,Private,220432,Doctorate,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7377,0,44,United-States,33,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,241541,Masters,9,Married-spouse-absent,Other-service,Husband,White,Male,4637,0,43,United-States,33,>50K,White_Male,Early Adulthood_Male
Elderly,Never-worked,149103,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,Trinadad&Tobago,42,>50K,White_Male,Elderly_Male
Elderly,Federal-gov,203683,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7427,0,41,United-States,37,>50K,White_Male,Elderly_Male
